cycle,race,candidate_name,primary_winner,primary_pct,party,state,district,grp_pct,committee_pct,party_contribs_pct,self_fund_pct,platinocitover18,pvi,female,age,latino_cand,party_contribs,self_fund,committee
2004,TX-10,Brad Tashenberg,0,0.020896599,R,TX,10,0,0,0,0.012987013,0.115219367,13,0,33,0,0,300,0
2004,TX-9,Beverly A. Spencer,0,0.022371282,D,TX,9,NA,NA,NA,NA,0.099099435,-21,0,39,0,0,0,0
2004,TX-10,John Kelley,0,0.028623831,R,TX,10,0,0,0,0,0.115219367,13,0,65,0,0,0,0
2004,TX-10,Pat Elliott,0,0.037433477,R,TX,10,0.122789784,0.122789784,0,0,0.115219367,13,0,65,0,0,0,1000
2004,TX-10,Teresa Doggett Taylor,0,0.044920172,R,TX,10,1,1,0,0,0.115219367,13,1,54,0,0,0,4000
2004,TX-24,Terry Waldrum,0,0.086991738,R,TX,24,NA,NA,NA,NA,0.089570446,15,0,31,0,0,0,0
2004,TX-24,Bill Dunn,0,0.088773692,R,TX,24,0,0,0,0,0.089570446,15,0,50,0,0,0,0
2004,TX-24,Cynthia Newman,0,0.089340677,R,TX,24,NA,NA,NA,NA,0.089570446,15,1,44,0,0,0,0
2004,CO-3,Matt Aljanich,0,0.090220639,R,CO,3,0.16025641,0.16025641,0,0,0.098027319,6,0,38,0,0,0,7500
2004,FL-14,Frank Schwerin,0,0.097141073,R,FL,14,0.007617737,0.007254987,0.000362749,0.460355172,0.03587144,10,0,45,0,250,317268.07,5000
2004,CO-3,Dan Corsentino,0,0.114863482,R,CO,3,0.06611716,0.06611716,0,0.031736237,0.098027319,6,0,50,0,0,3600,7500
2004,TX-10,Dave Phillips,0,0.134099041,R,TX,10,0.047761194,0.047761194,0,0,0.115219367,13,0,47,0,0,0,6000
2004,TX-28,"Gabriel Perales, Jr.",0,0.14604811,R,TX,28,0,0,0,0,0.354427147,1,0,52,1,0,0,0
2004,TX-28,Chris Bellamy,0,0.149383465,R,TX,28,0,0,0,0.48402334,0.354427147,1,0,34,0,0,1742,0
2004,CO-3,Gregg Rippy,0,0.163084858,R,CO,3,0.89850324,0.880166439,0.018336801,0.083159959,0.098027319,6,0,52,0,500,2267.57,24000
2004,TX-9,A.R. Hassan,0,0.189678284,R,TX,9,0,0,0,0,0.099099435,-21,0,65,0,0,0,0
2004,CA-20,Gino L. Martorana,0,0.203538907,R,CA,20,NA,NA,NA,NA,0.186821047,-5,0,65,0,0,0,0
2004,TX-10,John Devine,0,0.213355783,R,TX,10,0.030852656,0.030852656,0,0.368569535,0.115219367,13,0,43,0,0,11946.12,1000
2004,TX-28,"Francisco ""Quico"" Canseco",0,0.213765919,R,TX,28,0,0,0,0,0.354427147,1,0,55,1,0,0,0
2004,IL-8,Bill Scheurer,0,0.219452391,D,IL,8,NA,NA,NA,NA,0.023446312,5,0,54,0,0,0,0
2004,FL-14,Andy Coy,0,0.222376931,R,FL,14,0.007797149,0.007797149,0,0.015594299,0.03587144,10,0,50,0,0,2000,1000
2004,TX-10,Michael T. McCaul,0,0.239123245,R,TX,10,0.977293163,0.977293163,0,0.018165469,0.115219367,13,0,42,0,0,2000,107599
2004,TX-11,Bill Lester,0,0.25467366,R,TX,11,0,0,0,0,0.175955425,25,0,52,0,0,0,0
2004,CA-20,Lisa Quigley,0,0.256126959,D,CA,20,0.221569433,0.221569433,0,0,0.186821047,-5,1,38,0,0,0,114309
2004,TX-10,Ben Streusand,1,0.281547852,R,TX,10,0.0829302,0.0829302,0,0,0.115219367,13,0,46,0,0,0,6000
2004,TX-9,Chris Bell,0,0.312976818,D,TX,9,NA,NA,NA,NA,0.099099435,-21,0,44,0,0,0,0
2004,CO-3,Matt Smith,0,0.313111466,R,CO,3,0.046349942,0.046349942,0,0,0.098027319,6,0,32,0,0,0,2000
2004,IL-8,David Phelps,0,0.313161876,R,IL,8,0,0,0,0,0.023446312,5,0,57,0,0,0,0
2004,CO-3,Greg Walcher,1,0.318719555,R,CO,3,0.022676173,0.019422864,0.003253308,0.00132131,0.098027319,6,0,52,0,15900,6457.68,94926
2004,FL-14,Carole Green,0,0.322289745,R,FL,14,0.10661375,0.10550668,0.00110707,0,0.03587144,10,1,52,0,493.25,0,47008
2004,FL-14,Connie Mack IV,1,0.358192252,R,FL,14,0.182948026,0.182625453,0.000322573,0,0.03587144,10,0,37,0,493.25,0,279255
2004,TX-28,James (Jim) F. Hopson,1,0.490802507,R,TX,28,0,0,0,0,0.354427147,1,0,56,0,0,0,0
2004,TX-28,Ciro D. Rodriguez,0,0.497932748,D,TX,28,0.567425239,0.567191944,0.000233295,0,0.354427147,1,0,59,1,173.36,0,421476
2004,TX-28,Henry Cuellar,1,0.502067252,D,TX,28,0.072231087,0.070928453,0.001302635,0.091966001,0.354427147,1,0,49,1,1000,70600,54450
2004,TX-9,Al Green,1,0.6646519,D,TX,9,0.147069881,0.144858304,0.002211577,0.126059898,0.099099435,-21,0,57,0,1000,57000,65500
2004,IL-8,Phil Crane,1,0.686838124,R,IL,8,0.592258939,0.545403999,0.04685494,0,0.023446312,5,0,74,0,30000,0,349208
2004,CA-20,Jim Costa,1,0.698444585,D,CA,20,0.176784182,0.176784182,0,0.001490592,0.186821047,-5,0,53,0,0,2000,237200
2004,TX-24,Kenny Marchant,1,0.734893893,R,TX,24,0.330687639,0.316177431,0.014510208,0,0.089570446,15,0,53,0,5000,0,108950
2004,TX-11,Mike Conaway,1,0.74532634,R,TX,11,0.10805505,0.10805505,0,0.008249302,0.175955425,25,0,52,0,0,10001,131000
2004,IL-8,Melissa Bean,1,0.780547609,D,IL,8,0.128713276,0.119143988,0.009569288,0,0.023446312,5,1,42,0,8393.93,0,104510
